project,version,date,status,commit,task,deliverables,validation,bottleneck_or_risk,optimization_next
agent-code-change-platform,V0,2026-07-04,done,75589f8a,DeerFlow 二开代码地图和学习材料,"DEERFLOW_CODE_MAP; DEERFLOW_MODULE_CARDS; DEERFLOW_TEST_EVIDENCE; DEERFLOW_INTERVIEW_QA","compileall; CLI help","只完成认知地图，没有业务闭环","进入项目空间和任务报告闭环"
agent-code-change-platform,V1,2026-07-04,done,75589f8a,项目空间和任务报告闭环,"CodeChangeStore; repo_scanner; context_retriever; test_runner; report_writer; CLI task run","compileall; CLI project create/task run/project status","关键词召回会扫描文件内容，大仓库下会变慢；测试命令同步阻塞","限制 max_files；后续做符号索引、向量索引和异步队列"
agent-code-change-platform,V2,2026-07-06,done,74f6cafe,Patch/Test/PR 草稿闭环,"patcher.py; patch.diff; patch_check.log; patch_apply.log; pr_body.md; audit.json","compileall; CLI patch demo -> PR_CREATED","git apply 和 test_command 仍在本机同步执行；真实生产需要隔离和超时控制","接 Docker/DeerFlow sandbox；引入任务队列；失败任务二次修复"
agent-code-change-platform,V3,2026-07-06,done,6da3f11c,FastAPI 项目级任务 API,"/api/code-change/projects; /tasks; /timeline; /report; /pr-body","compileall; FastAPI TestClient smoke; pytest backend/tests/code_change 9 passed","同步 HTTP 请求直接执行 patch/test，长任务会占用请求线程","后续拆成 Task Service + Worker 队列，API 只创建任务并查询进度"
agent-code-change-platform,V4,2026-07-06,done,this-version,任务队列和 Worker 执行,"TaskStatus.QUEUED; task_queue.jsonl; worker.py; task enqueue; worker run-once; /api/code-change/worker/run-once","compileall; pytest backend/tests/code_change 11 passed; CLI queue/worker smoke","JSONL 队列适合单机 MVP，不支持多 worker 抢占、重试次数和分布式锁","接 Redis/PostgreSQL 队列；加任务租约、重试次数、sandbox 和指标"
agent-code-change-platform,V5,2026-07-06,done,this-version,Worker 指标与失败重试基础,"attempt_count/max_attempts/last_error; retry_task; task retry; /tasks/{task_id}/retry; /api/code-change/metrics; task_metrics","compileall; pytest backend/tests/code_change 14 passed; router retry/metrics tests; CLI metrics smoke","仍是单机 JSON 文件和 JSONL 队列，retry 没有退避、租约、死信队列，也没有真正隔离执行环境","接 Docker/DeerFlow sandbox；迁 Redis Stream/PostgreSQL 队列；增加 lease/heartbeat/backoff/DLQ"
agent-code-change-platform,V6,2026-07-06,done,this-version,隔离 workspace 执行 patch/test,"workspace.py; Task.workspace_path/source_repo_path/sandbox_kind; worker local-copy sandbox; report workspace evidence; workspace tests","compileall; pytest backend/tests/code_change 15 passed","local-copy 只能避免污染主仓库，不能限制 CPU/内存/网络/系统调用；大仓库 copy 成本会上升","升级 Docker/DeerFlow sandbox；增加资源限制、日志截断、workspace 清理和复用策略"
agent-code-change-platform,V7,2026-07-07,done,this-version,Sandbox policy 与执行边界强化,"sandbox_policy.py; sandbox_policy.json; workspace_manifest.json; shell=False test runner; command whitelist; log truncation/timeout evidence","compileall; pytest backend/tests/code_change 17 passed","仍不是容器级隔离，不能限制 CPU/内存/网络；命令白名单会限制复杂测试脚本","接 Docker/DeerFlow sandbox；支持项目级 test command 模板；生成 GitHub draft PR"
agent-code-change-platform,V8,2026-07-07,done,this-version,GitHub Draft PR 交付包,"pr_handoff.py; pr_handoff.json; create_draft_pr.sh; Task.pr_handoff_path; Task.pr_create_script_path","compileall; pytest backend/tests/code_change 18 passed","当前生成 PR handoff 和 gh 命令，不自动推送分支；需要人工审核后执行","V9 最终收口：简历 bullet、demo case、架构图、面试问答压缩"
agent-code-change-platform,V9,2026-07-07,done,this-version,项目二最终学习和面试收口,"FINAL_PROJECT_LEARNING_PACKAGE; FINAL_RESUME_AND_INTERVIEW_PACK; FINAL_DEMO_CASES; 更新代码地图/测试证据/演进文档","compileall; pytest backend/tests/code_change 18 passed; git diff --check","功能已经足够秋招讲述，继续堆功能会稀释主线","项目二停止扩功能；后续只做学习、demo 录屏、面试问答打磨"
